PREDATOR,PREY,source,pred_lifestage,prey_lifestage,area,ref,notes,Quality,yref,nref
Chelidonichthys lucerna,Turritella communis,Diet,adults,NA,Mediterranean Sea,"Montanini, S., Stagioni, M., Benni, E., & Vallisneri, M. (2017). Feeding strategy and ontogenetic changes in diet of gurnards (Teleostea: Scorpaeniformes: Triglidae) from the Adriatic Sea. The European Zoological Journal, 84(1), 356-367.",,1,2017,2
Chelidonichthys lucerna,Zooplankton,Diet,NA,NA,North Sea,"Daly, H. I. et al. (2001). Cephalopod consumption by trawl caught fish in Scottish and English Channel waters. Fisheries Research, 52(1-2), 51–64.",NA,4,2001,2
Clupea harengus,Agonus cataphractus,GlobiDataBase,NA,NA,NA,"Pinnegar, J.K. (2014). DAPSTOM - An Integrated Database & Portal for Fish Stomach Records. Version 4.7. Centre for Environment, Fisheries & Aquaculture Science, Lowestoft, UK. February 2014, 39pp.",NA,4,2014,1
Clupea harengus,Crangon crangon,FishBase,adults,adults,NA,"Froese, R. and D. Pauly. Editors. (2018). FishBase. World Wide Web electronic publication. www.fishbase.org, version (02/2018).",NA,2,2018,3
Clupea harengus,Hippolyte varians,Dapstom,NA,NA,Celtic Sea,"Pinnegar, J.K. (2014). DAPSTOM - An Integrated Database & Portal for Fish Stomach Records. Version 4.7. Centre for Environment, Fisheries & Aquaculture Science, Lowestoft, UK. February 2014, 39pp.",,2,2014,3
Clupea harengus,Hyperoplus lanceolatus,Diet,NA,NA,North Sea,"Daly, H. I. et al. (2001). Cephalopod consumption by trawl caught fish in Scottish and English Channel waters. Fisheries Research, 52(1-2), 51–64.","Feeds on several species that belongs or belonged to ""Ammodytidae""",4,2001,1
Clupea harengus,Phytoplankton,Dapstom,NA,NA,English Channel,"Pinnegar, J.K. (2014). DAPSTOM - An Integrated Database & Portal for Fish Stomach Records. Version 4.7. Centre for Environment, Fisheries & Aquaculture Science, Lowestoft, UK. February 2014, 39pp.",,2,2014,1
Clupea harengus,Sprattus sprattus,Dapstom,NA,NA,North Sea,"Pinnegar, J.K. (2014). DAPSTOM - An Integrated Database & Portal for Fish Stomach Records. Version 4.7. Centre for Environment, Fisheries & Aquaculture Science, Lowestoft, UK. February 2014, 39pp.",,2,2014,2
Clupea harengus,Zooplankton,FishBase,adults,adults,NA,"Froese, R. and D. Pauly. Editors. (2018). FishBase. World Wide Web electronic publication. www.fishbase.org, version (02/2018).",NA,4,2018,1
Corystes cassivelaunus,Amphiura filiformis,Diet,NA,NA,North Atlantic,"Hunt, O. D. (1925). The food of the bottom fauna of the Plymouth fishing grounds. Journal of the Marine Biological Association of the United Kingdom, 13(3), 560–599.",NA,1,1925,2
Corystes cassivelaunus,Detritus,Diet,NA,NA,North Atlantic,"Hunt, O. D. (1925). The food of the bottom fauna of the Plymouth fishing grounds. Journal of the Marine Biological Association of the United Kingdom, 13(3), 560–599.",NA,4,1925,1
Corystes cassivelaunus,Echinocardium cordatum,Diet,NA,NA,North Atlantic,"Hunt, O. D. (1925). The food of the bottom fauna of the Plymouth fishing grounds. Journal of the Marine Biological Association of the United Kingdom, 13(3), 560–599.","Feeds on several species that belongs or belonged to genus ""Echinocardium""",4,1925,2
Corystes cassivelaunus,Liocarcinus depurator,Diet,NA,NA,North Atlantic,"Hunt, O. D. (1925). The food of the bottom fauna of the Plymouth fishing grounds. Journal of the Marine Biological Association of the United Kingdom, 13(3), 560–599.","Feeds on several species that belongs or belonged to genus ""Portunus"", not included in our species list",4,1925,1
Corystes cassivelaunus,Liocarcinus holsatus,Diet,NA,NA,North Atlantic,"Hunt, O. D. (1925). The food of the bottom fauna of the Plymouth fishing grounds. Journal of the Marine Biological Association of the United Kingdom, 13(3), 560–599.","Feeds on several species that belongs or belonged to genus ""Portunus"", not included in our species list",4,1925,1
Corystes cassivelaunus,Ophiura albida,Diet,NA,NA,North Atlantic,"Hunt, O. D. (1925). The food of the bottom fauna of the Plymouth fishing grounds. Journal of the Marine Biological Association of the United Kingdom, 13(3), 560–599.",Feeds on several species that belongs or belonged to Ophiura,4,1925,2
Crangon allmanni,Crangon allmanni,Diet,NA,juveniles,North Sea,"Allen, J. A. (1960). On the biology of Crangon allmani Kinahan in Northumberland waters. Journal of the Marine Biological Association of the United Kingdom, 39(3), 481-508.",NA,1,1960,5
Crangon allmanni,Crangon crangon,Diet,NA,NA,Irish Sea,"Macer, C. T. (1967). The food web in Red Wharf Bay (North Wales) with particular reference to young plaice (Pleuronectes platessa). Helgoländer Wissenschaftliche Meeresuntersuchungen, 15(1), 560.","Feeds on several species that belongs or belonged to genus ""Crangon""",4,1967,1
Crangon allmanni,Detritus,Diet,NA,NA,North Atlantic,"Feder, H. M., & Pearson, T. H. (1988). The benthic ecology of Loch Linnhe and Loch Eil, a sea-loch system on the west coast of Scotland. V. Biology of the dominant soft-bottom epifauna and their interaction with the infauna. Journal of Experimental Marine Biology and Ecology, 116(2), 99–134.",NA,1,1988,3
Crangon allmanni,Macrophyta,Diet,NA,NA,North Atlantic,"Feder, H. M., & Pearson, T. H. (1988). The benthic ecology of Loch Linnhe and Loch Eil, a sea-loch system on the west coast of Scotland. V. Biology of the dominant soft-bottom epifauna and their interaction with the infauna. Journal of Experimental Marine Biology and Ecology, 116(2), 99–134.",NA,1,1988,1
Crangon allmanni,Microalgae,Diet,NA,NA,North Atlantic,"Feder, H. M., & Pearson, T. H. (1988). The benthic ecology of Loch Linnhe and Loch Eil, a sea-loch system on the west coast of Scotland. V. Biology of the dominant soft-bottom epifauna and their interaction with the infauna. Journal of Experimental Marine Biology and Ecology, 116(2), 99–134.",Scavenger,1,1988,2
Crangon allmanni,Ophiura albida,Diet,NA,NA,North Atlantic,"Feder, H. M., & Pearson, T. H. (1988). The benthic ecology of Loch Linnhe and Loch Eil, a sea-loch system on the west coast of Scotland. V. Biology of the dominant soft-bottom epifauna and their interaction with the infauna. Journal of Experimental Marine Biology and Ecology, 116(2), 99–134.","Feeds on several species that belongs or belonged to genus ""Ophiura""",4,1988,2
Crangon allmanni,Philocheras bispinosus bispinosus,Diet,NA,NA,Irish Sea,"Macer, C. T. (1967). The food web in Red Wharf Bay (North Wales) with particular reference to young plaice (Pleuronectes platessa). Helgoländer Wissenschaftliche Meeresuntersuchungen, 15(1), 560.","Feeds on several species that belongs or belonged to genus ""Crangon""",4,1967,1
Crangon allmanni,Zooplankton,Diet,NA,NA,North Sea,"Allen, J. A. (1960). On the biology of Crangon allmani Kinahan in Northumberland waters. Journal of the Marine Biological Association of the United Kingdom, 39(3), 481-508.",NA,1,1960,4
Crangon crangon,Crangon allmanni,Diet,NA,NA,Irish Sea,"Macer, C. T. (1967). The food web in Red Wharf Bay (North Wales) with particular reference to young plaice (Pleuronectes platessa). Helgoländer Wissenschaftliche Meeresuntersuchungen, 15(1), 560.","Feeds on several species that belongs or belonged to genus ""Crangon""",4,1967,1
Crangon crangon,Crangon crangon,Diet,NA,NA,Irish Sea,"Oh, C.W., Hartnoll, R.G., Nash, R.D.M. (2001). Feeding ecology of the common shrimp Crangon crangon in Port Erin Bay, Isle of Man, Irish Sea. Marine Ecology Progress Series, 214, 211-223.",NA,1,2001,5
Crangon crangon,Detritus,Diet,NA,NA,North Atlantic,"Feder, H. M., & Pearson, T. H. (1988). The benthic ecology of Loch Linnhe and Loch Eil, a sea-loch system on the west coast of Scotland. V. Biology of the dominant soft-bottom epifauna and their interaction with the infauna. Journal of Experimental Marine Biology and Ecology, 116(2), 99–134.",NA,1,1988,3
Crangon crangon,Euspira nitida,Diet,NA,NA,Irish Sea,"Oh, C.W., Hartnoll, R.G., Nash, R.D.M. (2001). Feeding ecology of the common shrimp Crangon crangon in Port Erin Bay, Isle of Man, Irish Sea. Marine Ecology Progress Series, 214, 211-223.",NA,4,2001,2
Crangon crangon,Hippolyte varians,Diet,NA,NA,Irish Sea,"Oh, C.W., Hartnoll, R.G., Nash, R.D.M. (2001). Feeding ecology of the common shrimp Crangon crangon in Port Erin Bay, Isle of Man, Irish Sea. Marine Ecology Progress Series, 214, 211-223.",NA,1,2001,3
Crangon crangon,Macroalgae,Diet,NA,NA,Baltic Sea,"Rauschenplat, E. A. (1901). Ueber die nahrung von thieren aus der Kieler bucht. Druck von Schmidt & Klaunig.",Fadenalgen->Macroalgae,1,1901,2
Crangon crangon,Macrophyta,Diet,NA,NA,Baltic Sea,"Rauschenplat, E. A. (1901). Ueber die nahrung von thieren aus der Kieler bucht. Druck von Schmidt & Klaunig.",Gewebsttheile->Macrophyta,1,1901,3
Crangon crangon,Microalgae,Diet,NA,NA,Baltic Sea,"Rauschenplat, E. A. (1901). Ueber die nahrung von thieren aus der Kieler bucht. Druck von Schmidt & Klaunig.",NA,1,1901,3
Crangon crangon,Philocheras bispinosus bispinosus,Diet,NA,NA,Irish Sea,"Macer, C. T. (1967). The food web in Red Wharf Bay (North Wales) with particular reference to young plaice (Pleuronectes platessa). Helgoländer Wissenschaftliche Meeresuntersuchungen, 15(1), 560.","Feeds on several species that belongs or belonged to genus ""Crangon""",4,1967,1
Crangon crangon,Zooplankton,Diet,NA,NA,North Atlantic,"Feder, H. M., & Pearson, T. H. (1988). The benthic ecology of Loch Linnhe and Loch Eil, a sea-loch system on the west coast of Scotland. V. Biology of the dominant soft-bottom epifauna and their interaction with the infauna. Journal of Experimental Marine Biology and Ecology, 116(2), 99–134.",NA,1,1988,3
Echinocardium cordatum,Detritus,Diet,NA,NA,North Atlantic,"Hunt, O. D. (1925). The food of the bottom fauna of the Plymouth fishing grounds. Journal of the Marine Biological Association of the United Kingdom, 13(3), 560–599.",NA,1,1925,3
Echinocardium cordatum,Macroalgae,Diet,NA,NA,North Sea,"Eichelbaum, E. (1909). Über Nahrung und Ernährungsorgane von Echinodermen (Doctoral dissertation, Christian-Albrechts-Universität Kiel).",Prey: Dictyocha,2,1909,1
Echinocardium cordatum,Microalgae,Diet,NA,NA,North Sea,"Eichelbaum, E. (1909). Über Nahrung und Ernährungsorgane von Echinodermen (Doctoral dissertation, Christian-Albrechts-Universität Kiel).",NA,2,1909,1
Echinocardium cordatum,Phytoplankton,Diet,NA,NA,North Sea,"Eichelbaum, E. (1909). Über Nahrung und Ernährungsorgane von Echinodermen (Doctoral dissertation, Christian-Albrechts-Universität Kiel).",NA,2,1909,1
Echinocardium cordatum,Zooplankton,Diet,NA,NA,North Sea,"Eichelbaum, E. (1909). Über Nahrung und Ernährungsorgane von Echinodermen (Doctoral dissertation, Christian-Albrechts-Universität Kiel).",NA,2,1909,1
Enchelyopus cimbrius,Aphrodita aculeata,Diet,NA,NA,North Sea,"Mattson, S. (1981). The food of Galeus melastomus, Gadiculus argenteus thori, Trisopterus esmarkii, Rhinonemus cimbrius, and Glyptocephalus cynoglossus (Pisces) caught during the day with shrimp trawl in a West-Norwegian fjord. Sarsia, 66(2), 109-127.",NA,1,1981,6
Enchelyopus cimbrius,Callionymus lyra,Dapstom,NA,NA,North Sea,"Pinnegar, J.K. (2014). DAPSTOM - An Integrated Database & Portal for Fish Stomach Records. Version 4.7. Centre for Environment, Fisheries & Aquaculture Science, Lowestoft, UK. February 2014, 39pp.",,2,2014,3
Enchelyopus cimbrius,Crangon allmanni,Diet,NA,NA,North Sea,"Mattson, S. (1981). The food of Galeus melastomus, Gadiculus argenteus thori, Trisopterus esmarkii, Rhinonemus cimbrius, and Glyptocephalus cynoglossus (Pisces) caught during the day with shrimp trawl in a West-Norwegian fjord. Sarsia, 66(2), 109-127.",NA,1,1981,4
Enchelyopus cimbrius,Crangon crangon,Diet,NA,NA,North Sea,"Klimpel, S., Seehagen, A., & Palm, H. W. (2003). Metazoan parasites and feeding behaviour of four small-sized fish species from the central North Sea. Parasitology Research, 91(4), 290-297.",NA,1,2003,4
Enchelyopus cimbrius,Hippolyte varians,Diet,NA,NA,North Sea,"Mattson, S. (1981). The food of Galeus melastomus, Gadiculus argenteus thori, Trisopterus esmarkii, Rhinonemus cimbrius, and Glyptocephalus cynoglossus (Pisces) caught during the day with shrimp trawl in a West-Norwegian fjord. Sarsia, 66(2), 109-127.",NA,1,1981,2
Enchelyopus cimbrius,Pagurus bernhardus,Diet,NA,NA,North Sea,"Klimpel, S., Seehagen, A., & Palm, H. W. (2003). Metazoan parasites and feeding behaviour of four small-sized fish species from the central North Sea. Parasitology Research, 91(4), 290-297.",NA,1,2003,3
Enchelyopus cimbrius,Pandalina brevirostris,Diet,juveniles,NA,English Channel,"Lebour, M. V. (1920). The food of young fish no. III (1919). Journal of the Marine Biological Association of the United Kingdom, 12(2), 261-324.",“The predator belonged to 'Onos’ genus reported to feed on this prey”,4,1920,3
Enchelyopus cimbrius,Philocheras bispinosus bispinosus,Diet,NA,NA,North Sea,"Mattson, S. (1981). The food of Galeus melastomus, Gadiculus argenteus thori, Trisopterus esmarkii, Rhinonemus cimbrius, and Glyptocephalus cynoglossus (Pisces) caught during the day with shrimp trawl in a West-Norwegian fjord. Sarsia, 66(2), 109-127.",NA,1,1981,3
Enchelyopus cimbrius,Pomatoschistus minutus,FishBase,adults,adults,NA,"Froese, R. and D. Pauly. Editors. (2018). FishBase. World Wide Web electronic publication. www.fishbase.org, version (02/2018).",NA,2,2018,4
Engraulis encrasicolus,Zooplankton,GlobiDataBase,NA,NA,North Sea,"Tudela, S., & Palomera, I. (1997). Trophic ecology of the European anchovy Engraulis encrasicolus in the Catalan Sea (northwest Mediterranean). Marine Ecology Progress Series, 121-134.",NA,4,1997,2
Euspira nitida,Detritus,Diet,NA,NA,North Atlantic,"Hunt, O. D. (1925). The food of the bottom fauna of the Plymouth fishing grounds. Journal of the Marine Biological Association of the United Kingdom, 13(3), 560–599.","Species which belongs or belonged to genus ""Natica"", not included in our species list, feed on dead fish",4,1925,2
Euspira nitida,Euspira nitida,Diet,NA,NA,North Pacific,"Dunne, J. A., Maschner, H., Betts, M. W., Huntly, N., Russell, R., Williams, R. J., & Wood, S. A. (2016). The roles and impacts of human hunter-gatherers in North Pacific marine food webs. Scientific reports, 6, 21179.","Inferred from ""Naticidae"" and ""Natica""",4,2016,1
Euspira nitida,Macroalgae,Diet,NA,NA,North Pacific,"Dunne, J. A., Maschner, H., Betts, M. W., Huntly, N., Russell, R., Williams, R. J., & Wood, S. A. (2016). The roles and impacts of human hunter-gatherers in North Pacific marine food webs. Scientific reports, 6, 21179.","Inferred from ""Naticidae"" and ""Natica""",4,2016,1
Euspira nitida,Microalgae,Diet,NA,NA,North Pacific,"Dunne, J. A., Maschner, H., Betts, M. W., Huntly, N., Russell, R., Williams, R. J., & Wood, S. A. (2016). The roles and impacts of human hunter-gatherers in North Pacific marine food webs. Scientific reports, 6, 21179.","Inferred from ""Naticidae"" and ""Natica""",4,2016,1
Eutrigla gurnardus,Agonus cataphractus,Diet,NA,NA,North Sea,"De Gee, A. and Kikkert, A. H. (1993). Analysis of the grey gurnard (Eutrigla gurnardus) samples collected during the 1991 International Stomach Sampling Project. - ICES CM.",NA,2,1993,7
Eutrigla gurnardus,Amphiura filiformis,Dapstom,NA,NA,North Sea,"Pinnegar, J.K. (2014). DAPSTOM - An Integrated Database & Portal for Fish Stomach Records. Version 4.7. Centre for Environment, Fisheries & Aquaculture Science, Lowestoft, UK. February 2014, 39pp.",,2,2014,2
Eutrigla gurnardus,Aphrodita aculeata,Diet,NA,NA,North Sea,"De Gee, A. and Kikkert, A. H. (1993). Analysis of the grey gurnard (Eutrigla gurnardus) samples collected during the 1991 International Stomach Sampling Project. - ICES CM.",NA,2,1993,5
Eutrigla gurnardus,Arnoglossus laterna,Diet,adults,NA,Mediterranean Sea,"Montanini, S., Stagioni, M., Benni, E., & Vallisneri, M. (2017). Feeding strategy and ontogenetic changes in diet of gurnards (Teleostea: Scorpaeniformes: Triglidae) from the Adriatic Sea. The European Zoological Journal, 84(1), 356-367.",,1,2017,10
Eutrigla gurnardus,Buglossidium luteum,Diet,NA,NA,North Sea,"De Gee, A. and Kikkert, A. H. (1993). Analysis of the grey gurnard (Eutrigla gurnardus) samples collected during the 1991 International Stomach Sampling Project. - ICES CM.",NA,2,1993,9
Eutrigla gurnardus,Callionymus lyra,Diet,NA,NA,North Sea,"De Gee, A. and Kikkert, A. H. (1993). Analysis of the grey gurnard (Eutrigla gurnardus) samples collected during the 1991 International Stomach Sampling Project. - ICES CM.",NA,2,1993,22
Eutrigla gurnardus,Clupea harengus,Diet,NA,NA,North Sea,"De Gee, A. and Kikkert, A. H. (1993). Analysis of the grey gurnard (Eutrigla gurnardus) samples collected during the 1991 International Stomach Sampling Project. - ICES CM.",NA,2,1993,16
Eutrigla gurnardus,Corystes cassivelaunus,Diet,NA,NA,North Sea,"De Gee, A. and Kikkert, A. H. (1993). Analysis of the grey gurnard (Eutrigla gurnardus) samples collected during the 1991 International Stomach Sampling Project. - ICES CM.",NA,2,1993,5
Eutrigla gurnardus,Crangon allmanni,Diet,NA,NA,North Sea,"De Gee, A. and Kikkert, A. H. (1993). Analysis of the grey gurnard (Eutrigla gurnardus) samples collected during the 1991 International Stomach Sampling Project. - ICES CM.",NA,2,1993,10
Eutrigla gurnardus,Crangon crangon,Diet,NA,NA,North Sea,"De Gee, A. and Kikkert, A. H. (1993). Analysis of the grey gurnard (Eutrigla gurnardus) samples collected during the 1991 International Stomach Sampling Project. - ICES CM.",NA,2,1993,6
Eutrigla gurnardus,Echinocardium cordatum,Diet,NA,NA,North Sea,"De Gee, A. and Kikkert, A. H. (1993). Analysis of the grey gurnard (Eutrigla gurnardus) samples collected during the 1991 International Stomach Sampling Project. - ICES CM.","Feeds on several species that belongs or belonged to genus ""Echinus""",4,1993,1
Eutrigla gurnardus,Enchelyopus cimbrius,Diet,NA,NA,North Sea,"De Gee, A. and Kikkert, A. H. (1993). Analysis of the grey gurnard (Eutrigla gurnardus) samples collected during the 1991 International Stomach Sampling Project. - ICES CM.",NA,2,1993,5
Eutrigla gurnardus,Eutrigla gurnardus,Diet,NA,NA,North Sea,"De Gee, A. and Kikkert, A. H. (1993). Analysis of the grey gurnard (Eutrigla gurnardus) samples collected during the 1991 International Stomach Sampling Project. - ICES CM.",NA,2,1993,8
Eutrigla gurnardus,Gadus morhua,Diet,NA,juveniles,North Sea,"De Gee, A. and Kikkert, A. H. (1993). Analysis of the grey gurnard (Eutrigla gurnardus) samples collected during the 1991 International Stomach Sampling Project. - ICES CM.",NA,2,1993,9
Eutrigla gurnardus,Hippoglossoides platessoides,Diet,NA,NA,North Sea,"De Gee, A. and Kikkert, A. H. (1993). Analysis of the grey gurnard (Eutrigla gurnardus) samples collected during the 1991 International Stomach Sampling Project. - ICES CM.",NA,2,1993,3
Eutrigla gurnardus,Hippolyte varians,Dapstom,NA,NA,North Sea,"Pinnegar, J.K. (2014). DAPSTOM - An Integrated Database & Portal for Fish Stomach Records. Version 4.7. Centre for Environment, Fisheries & Aquaculture Science, Lowestoft, UK. February 2014, 39pp.",,2,2014,5
Eutrigla gurnardus,Hyperoplus lanceolatus,Diet,NA,NA,North Sea,"De Gee, A. and Kikkert, A. H. (1993). Analysis of the grey gurnard (Eutrigla gurnardus) samples collected during the 1991 International Stomach Sampling Project. - ICES CM.",NA,2,1993,7
Eutrigla gurnardus,Limanda limanda,Diet,NA,juveniles,North Sea,"De Gee, A. and Kikkert, A. H. (1993). Analysis of the grey gurnard (Eutrigla gurnardus) samples collected during the 1991 International Stomach Sampling Project. - ICES CM.",NA,2,1993,9
Eutrigla gurnardus,Liocarcinus depurator,Diet,juveniles,NA,Mediterranean Sea,"Montanini, S., Stagioni, M., Benni, E., & Vallisneri, M. (2017). Feeding strategy and ontogenetic changes in diet of gurnards (Teleostea: Scorpaeniformes: Triglidae) from the Adriatic Sea. The European Zoological Journal, 84(1), 356-367.",,1,2017,5
Eutrigla gurnardus,Liocarcinus holsatus,Diet,NA,NA,North Sea,"De Gee, A. and Kikkert, A. H. (1993). Analysis of the grey gurnard (Eutrigla gurnardus) samples collected during the 1991 International Stomach Sampling Project. - ICES CM.",NA,2,1993,8
Eutrigla gurnardus,Loligo vulgaris,Diet,adults,NA,North Sea,"De Gee, A. and Kikkert, A. H. (1993). Analysis of the grey gurnard (Eutrigla gurnardus) samples collected during the 1991 International Stomach Sampling Project. - ICES CM.","Feeds on several species that belongs or belonged to genus ""Sepia""",4,1993,4
Eutrigla gurnardus,Merlangius merlangus,Diet,NA,juveniles,North Sea,"De Gee, A. and Kikkert, A. H. (1993). Analysis of the grey gurnard (Eutrigla gurnardus) samples collected during the 1991 International Stomach Sampling Project. - ICES CM.",NA,2,1993,9
Eutrigla gurnardus,Myoxocephalus scorpius,Diet,NA,NA,North Sea,ICES. (2012). Stomach Dataset. ICES-CIEM Stomach Data (1981-2010). Copenhagen.,NA,2,2012,4
Eutrigla gurnardus,Ophiura albida,Dapstom,NA,NA,North Sea,"Pinnegar, J.K. (2014). DAPSTOM - An Integrated Database & Portal for Fish Stomach Records. Version 4.7. Centre for Environment, Fisheries & Aquaculture Science, Lowestoft, UK. February 2014, 39pp.",,2,2014,8
Eutrigla gurnardus,Pagurus bernhardus,Diet,NA,NA,North Sea,"De Gee, A. and Kikkert, A. H. (1993). Analysis of the grey gurnard (Eutrigla gurnardus) samples collected during the 1991 International Stomach Sampling Project. - ICES CM.",NA,2,1993,8
Eutrigla gurnardus,Pandalina brevirostris,Diet,NA,NA,North Sea,"De Gee, A. and Kikkert, A. H. (1993). Analysis of the grey gurnard (Eutrigla gurnardus) samples collected during the 1991 International Stomach Sampling Project. - ICES CM.",NA,2,1993,4
Eutrigla gurnardus,Philocheras bispinosus bispinosus,Diet,juveniles,NA,Mediterranean Sea,"Montanini, S., Stagioni, M., Benni, E., & Vallisneri, M. (2017). Feeding strategy and ontogenetic changes in diet of gurnards (Teleostea: Scorpaeniformes: Triglidae) from the Adriatic Sea. The European Zoological Journal, 84(1), 356-367.",,1,2017,7
Eutrigla gurnardus,Pleuronectes platessa,Diet,NA,NA,North Sea,"De Gee, A. and Kikkert, A. H. (1993). Analysis of the grey gurnard (Eutrigla gurnardus) samples collected during the 1991 International Stomach Sampling Project. - ICES CM.",NA,2,1993,8
Eutrigla gurnardus,Pomatoschistus minutus,Dapstom,NA,NA,North Sea,"Pinnegar, J.K. (2014). DAPSTOM - An Integrated Database & Portal for Fish Stomach Records. Version 4.7. Centre for Environment, Fisheries & Aquaculture Science, Lowestoft, UK. February 2014, 39pp.",,2,2014,5
Eutrigla gurnardus,Processa modica modica,Diet,NA,NA,English Channel,"Steven, G. A. (1930). Bottom fauna and the food of fishes. Journal of the Marine Biological Association of the United Kingdom, 16(3), 677-706.","Feeds on several species that belongs or belonged to genus ""Processa""",4,1930,5
Eutrigla gurnardus,Processa nouveli holthuisi,Diet,NA,NA,English Channel,"Steven, G. A. (1930). Bottom fauna and the food of fishes. Journal of the Marine Biological Association of the United Kingdom, 16(3), 677-706.","Feeds on several species that belongs or belonged to genus ""Processa""",4,1930,5
Eutrigla gurnardus,Scomber scombrus,Diet,NA,NA,North Sea,"De Gee, A. and Kikkert, A. H. (1993). Analysis of the grey gurnard (Eutrigla gurnardus) samples collected during the 1991 International Stomach Sampling Project. - ICES CM.",NA,2,1993,7
Eutrigla gurnardus,Solea solea,Diet,NA,NA,North Sea,"De Gee, A. and Kikkert, A. H. (1993). Analysis of the grey gurnard (Eutrigla gurnardus) samples collected during the 1991 International Stomach Sampling Project. - ICES CM.",NA,2,1993,5
Eutrigla gurnardus,Sprattus sprattus,Diet,NA,juveniles,North Sea,"De Gee, A. and Kikkert, A. H. (1993). Analysis of the grey gurnard (Eutrigla gurnardus) samples collected during the 1991 International Stomach Sampling Project. - ICES CM.",NA,2,1993,9
Eutrigla gurnardus,Trachurus trachurus,Diet,NA,NA,North Sea,"De Gee, A. and Kikkert, A. H. (1993). Analysis of the grey gurnard (Eutrigla gurnardus) samples collected during the 1991 International Stomach Sampling Project. - ICES CM.",NA,2,1993,9
Eutrigla gurnardus,Turritella communis,Diet,juveniles,NA,Mediterranean Sea,"Montanini, S., Stagioni, M., Benni, E., & Vallisneri, M. (2017). Feeding strategy and ontogenetic changes in diet of gurnards (Teleostea: Scorpaeniformes: Triglidae) from the Adriatic Sea. The European Zoological Journal, 84(1), 356-367.",,1,2017,4
Eutrigla gurnardus,Zooplankton,Diet,juveniles,juveniles,English Channel,"Lebour, M. V. (1920). The food of young fish no. III (1919). Journal of the Marine Biological Association of the United Kingdom, 12(2), 261-324.",NA,4,1920,1
Gadus morhua,Agonus cataphractus,Diet,NA,NA,North Sea,ICES. (2012). Stomach Dataset. ICES-CIEM Stomach Data (1981-2010). Copenhagen.,NA,2,2012,11
Gadus morhua,Alosa fallax,Diet,NA,NA,Atlantic Ocean,"Tyler, A. V. (1972). Food resource division among northern, marine, demersal fishes. Journal of the Fisheries Board of Canada, 29(7), 997-1003.","Feeds on several species that belongs or belonged to genus ""Clupea""",4,1972,6
Gadus morhua,Amphiura filiformis,Dapstom,NA,NA,North Sea,"Pinnegar, J.K. (2014). DAPSTOM - An Integrated Database & Portal for Fish Stomach Records. Version 4.7. Centre for Environment, Fisheries & Aquaculture Science, Lowestoft, UK. February 2014, 39pp.",,2,2014,3
Gadus morhua,Aphrodita aculeata,Diet,NA,NA,North Sea,ICES. (2012). Stomach Dataset. ICES-CIEM Stomach Data (1981-2010). Copenhagen.,NA,2,2012,7
Gadus morhua,Arnoglossus laterna,Diet,NA,NA,North Sea,ICES. (2012). Stomach Dataset. ICES-CIEM Stomach Data (1981-2010). Copenhagen.,NA,2,2012,9
Gadus morhua,Asterias rubens,Diet,NA,NA,North Sea,ICES. (2012). Stomach Dataset. ICES-CIEM Stomach Data (1981-2010). Copenhagen.,NA,2,2012,12
Gadus morhua,Astropecten irregularis,Dapstom,NA,NA,North Sea,"Pinnegar, J.K. (2014). DAPSTOM - An Integrated Database & Portal for Fish Stomach Records. Version 4.7. Centre for Environment, Fisheries & Aquaculture Science, Lowestoft, UK. February 2014, 39pp.",,2,2014,4
Gadus morhua,Buglossidium luteum,Diet,NA,NA,North Sea,ICES. (2012). Stomach Dataset. ICES-CIEM Stomach Data (1981-2010). Copenhagen.,NA,2,2012,11
Gadus morhua,Callionymus lyra,Diet,NA,NA,North Sea,ICES. (2012). Stomach Dataset. ICES-CIEM Stomach Data (1981-2010). Copenhagen.,NA,2,2012,12
Gadus morhua,Chelidonichthys lucerna,GlobiDataBase,NA,NA,North Sea,ICES. (2012). Stomach Dataset. ICES-CIEM Stomach Data (1981-2010). Copenhagen.,NA,4,2012,1
Gadus morhua,Clupea harengus,Diet,NA,NA,North Sea,"Daan, N. (1973). A quantitative analysis of the food intake of North Sea cod, Gadus morhua. Netherlands Journal of Sea Research, 6(4), 479-517.",NA,1,1973,13
Gadus morhua,Corystes cassivelaunus,Dapstom,NA,NA,Celtic Sea,"Pinnegar, J.K. (2014). DAPSTOM - An Integrated Database & Portal for Fish Stomach Records. Version 4.7. Centre for Environment, Fisheries & Aquaculture Science, Lowestoft, UK. February 2014, 39pp.",,2,2014,5
Gadus morhua,Crangon allmanni,Diet,NA,NA,North Atlantic,"Feder, H. M., & Pearson, T. H. (1988). The benthic ecology of Loch Linnhe and Loch Eil, a sea-loch system on the west coast of Scotland. V. Biology of the dominant soft-bottom epifauna and their interaction with the infauna. Journal of Experimental Marine Biology and Ecology, 116(2), 99–134.","Occurring in the area; Feeds on several species that belongs or belonged to genus ""Crangon""",1,1988,20
Gadus morhua,Crangon crangon,Diet,NA,NA,English Channel,"Hartley, P. H. T. (1940). The Saltash tuck-net fishery and the ecology of some estuarine fishes. Journal of the Marine Biological Association of the United Kingdom, 24(1), 1-68.",NA,1,1940,10
Gadus morhua,Echinocardium cordatum,Diet,NA,NA,North Sea,ICES. (2012). Stomach Dataset. ICES-CIEM Stomach Data (1981-2010). Copenhagen.,NA,2,2012,5
